The,DT
Teloschistaceae,NN
are,VBZ
a,DT
large,JJ
family,NN
of,IN
mostly,ADV
lichen-forming,JJ
fungi,NN
belonging,VBZ
to,IN
the,DT
class,NN
Lecanoromycetes,NN
in,IN
the,DT
division,NN
Ascomycota,NN
The,DT
family,NN
has,VBZ
a,DT
cosmopolitan,JJ
distribution,NN
although,CCONJ
members,NN
occur,VBZ
predominantly,ADV
in,IN
temperate,JJ
regions,NN
Most,DT
members,NN
are,VBZ
lichens,NN
that,CCONJ
either,ADV
live,VBZ
on,IN
rock,NN
or,CCONJ
on,IN
bark,NN
but,CCONJ
about,IN
40,NUM
species,NN
are,VBZ
lichenicolous,JJ
meaning,VBZ
they,PRON
are,VBZ
non-lichenised,JJ
fungi,NN
that,CCONJ
live,VBZ
on,IN
other,JJ
lichens,NN
Many,DT
members,NN
of,IN
the,DT
Teloschistaceae,NN
are,VBZ
readily,ADV
identifiable,JJ
by,IN
their,PRON
vibrant,JJ
orange,JJ
to,IN
yellow,JJ
hue,NN
a,DT
result,NN
of,IN
their,PRON
frequent,JJ
anthraquinone,NN
content,NN
The,DT
presence,NN
of,IN
these,DT
anthraquinone,NN
pigments,NN
which,PRON
confer,VBZ
protection,NN
from,IN
ultraviolet,JJ
light,NN
enabled,VBZ
this,DT
group,NN
to,IN
expand,VBZ
from,IN
shaded,JJ
forest,NN
habitats,NN
to,IN
harsher,JJ
environmental,JJ
conditions,NN
of,IN
sunny,JJ
and,CCONJ
arid,JJ
ecosystems,NN
during,IN
the,DT
Late,JJ
Cretaceous,NN
Teloschistaceae,NN
lichens,NN
typically,ADV
have,VBZ
one,NUM
of,IN
a,DT
few,JJ
physical,JJ
growth,NN
forms,NN
Depending,VBZ
on,IN
the,DT
species,NN
the,DT
thallus,NN
(the,DT
main,JJ
body,NN
of,IN
the,DT
lichen),NN
is,VBZ
either,ADV
leaf-like,JJ
(foliose),NN
bushy,JJ
or,CCONJ
shrub-like,JJ
(fruticose),NN
or,CCONJ
crust-like,JJ
(crustose),NN
These,DT
lichens,NN
typically,ADV
partner,VBZ
with,IN
a,DT
photosynthetic,JJ
companion,NN
(a,DT
photobiont),NN
from,IN
the,DT
green,JJ
algal,JJ
genus,NN
Trebouxia,NN
Teloschistaceae,NN
members,NN
are,VBZ
also,ADV
characterised,VBZ
by,IN
their,PRON
apothecia,NN
(the,DT
fruiting,NN
bodies,NN
where,ADV
sexual,JJ
reproduction,NN
occurs),VBZ
which,PRON
generally,ADV
have,VBZ
a,DT
well-defined,JJ
encircling,VBZ
rim,NN
of,IN
tissue,NN
In,IN
the,DT
Teloschistaceae,NN
the,DT
tip,NN
of,IN
the,DT
ascus,NN
the,DT
structure,NN
that,CCONJ
produces,VBZ
spores,NN
characteristically,ADV
turns,VBZ
blue,JJ
when,CCONJ
stained,VBZ
with,IN
iodine,NN
The,DT
ascospores,NN
are,VBZ
released,VBZ
through,IN
a,DT
longitudinal,JJ
slit,NN
in,IN
the,DT
ascus,NN
tip,NN
a,DT
unique,JJ
trait,NN
common,JJ
to,IN
this,DT
family,NN
of,IN
lichens,NN
